"Time (min)","Large P","Large I","Large D","Normal PID"
0.0010000000000000152,20.165287807393828,20.089255415992646,20.089255415992646,20.089255415992646
0.002000999999999941,20.657324154432693,20.354955043393613,20.354955043393613,20.354955043393613
0.003001000000000074,21.468014046694776,20.792727585215076,20.792727585215076,20.792727585215076
0.004001000000000207,22.590729271976137,21.398993806867004,21.398993806867004,21.398993806867004
0.005001000000000339,24.018656845137123,22.170074696373895,22.170074696373895,22.170074696373895
0.006001000000000472,25.745125691938842,23.1023678736468,23.1023678736468,23.1023678736468
0.007001000000000605,27.763603699628547,24.19234599779916,24.19234599779916,24.19234599779916
0.008002000000000573,30.070139767614574,25.437875474511607,25.437875474511607,25.437875474511607
0.009002999999999838,32.6565789553443,26.834552635885615,26.834552635885615,26.834552635885615
0.010003999999999102,35.51677072282977,28.379056190327848,28.379056190327848,28.379056190327848
0.011004999999998367,38.64469280068878,30.06813411237177,30.06813411237177,30.06813411237177
0.012005999999997631,42.03444852155502,31.898602201639456,31.898602201639456,31.898602201639456
0.013006999999996896,45.680264206999695,33.86734267177942,33.86734267177942,33.86734267177942
0.01400799999999616,49.57648660881136,35.971302768757646,35.971302768757646,35.971302768757646
0.015008999999995425,53.717580403501294,38.20749341789019,38.20749341789019,38.20749341789019
0.016009999999995358,58.09812573892794,40.572987899020525,40.572987899020525,40.572987899020525
0.01701066666666701,62.70410300881779,43.064205164979185,43.0576280010164,43.060762539246895
0.01801066666666801,67.44145808052319,45.678972942845206,45.579091435837476,45.6266928646617
0.01901066666666901,72.28447190753367,48.416617615290924,48.11491885847821,48.25870215059098
0.02001066666667001,77.23074476369396,51.27440852013309,50.66474503748094,50.955297850965316
0.02101066666667101,82.27792699606405,54.24967191880419,53.228212398051774,53.71501855597336
0.02201066666667201,87.42371798413095,57.339789813230816,55.80497086287763,56.53643334489187
0.02301066666667301,92.66586512065103,60.54219878729991,58.394677696253936,59.41814115236568
0.02401066666667401,98.00216281367054,63.85438887240069,60.99699735144958,62.35877014785671
0.02501066666667501,103.43045150928538,67.2739024365426,63.61160132124401,65.35697712798853
0.02601066666667601,108.94861673470994,70.79833309655804,66.23816799157257,68.41144692152025
0.02701066666667701,114.55458816123294,74.42532465291225,68.87638249820999,71.52089180668425
0.02801066666667801,120.24633868664462,78.15257004664839,71.52593658643515,74.68405094063314
0.02901066666667901,126.02188353673499,81.97781033800865,74.18652847361138,77.89968980074505
0.03001066666668001,131.87927938546088,85.89883370628255,76.85786271462106,81.16659963753699
0.03101066666668101,137.81662349340107,89.91347447043788,79.53965007009887,84.48359693894857
0.03201066666668201,143.83205286411328,94.01961213010584,82.23160737740227,87.84952290575946
0.03301066666668301,149.9237434180227,98.21517042649543,84.9334574242638,91.26324293790708
0.03401133333335466,156.0346717937122,102.48704419240794,87.61751318033802,94.70458251795178
0.03501133333335566,161.97164135981717,106.78446185906196,90.18969998093912,98.1018420778007
0.03601133333335666,167.72905410857783,111.10642696486742,92.64763791299713,101.45337663737025
0.03701133333335766,173.3106976064542,115.45231558701626,94.99376197621733,104.76011155750031
0.03801133333335866,178.72028065341468,119.8215168823362,97.23045650722771,108.02295299372432
0.03901133333335966,183.96143491985563,124.21343281536683,99.36005623248415,111.24278829535399
0.04001133333336066,189.0377165495077,128.62747789208493,101.38484729929213,114.42048639627178
0.04101133333336166,193.95260772902864,133.06307889916417,103.30706828540133,117.55689819760222
0.04201133333336266,198.70951822498242,137.5196746486548,105.1289111876226,120.65285694242951
0.04301133333336366,203.31178688887246,141.9967157279668,106.85252238989847,123.70917858272978
0.04401133333336466,207.76268313090367,146.4936642550491,108.48000361125499,126.72666213867636
0.04501133333336566,212.06540836311325,151.00999363866077,110.0134128340562,129.70609005047993
0.04601133333336666,216.2230974125155,155.54518834361738,111.45476521296591,132.64822852291607
0.04701133333336766,220.238819904875,160.09874366092222,112.8060339650216,135.5538278626934
0.04801133333336866,224.1155816197276,164.67016548266994,114.06915124121146,138.4236228088096
0.04901133333336966,227.8563258172404,169.25897008163193,115.24600897993757,141.25833285604517
0.050012000000041315,231.46628654113792,173.867755442879,116.33916179066036,144.06051463603433
0.051012000000042315,234.872121055042,178.45556091562753,117.36054658050206,146.80016640579947
0.052012000000043315,238.01291963489976,182.99316179713773,118.32342492223835,149.45486118525358
0.053012000000044315,240.89438422050563,187.48155628843023,119.22904991525182,152.02639249657042
0.054012000000045315,243.52209806414422,191.92172189174917,120.07864858070789,154.51651656229527
0.055012000000046316,245.901528197261,196.3146158406643,120.8734224035305,156.92695308050284
0.056012000000047316,248.03802784587015,200.66117552123447,121.61454786311404,159.25938598384934
0.057012000000048316,249.93683879576798,204.96231888442026,122.30317695300664,161.51546418285105
0.058012000000049316,251.60309370859136,209.2189448499216,122.9404376897948,163.69680229371858
0.059012000000050316,253.041818389751,213.43193370162874,123.52743461141034,165.80498135105915
0.060012000000051316,254.25793400922652,217.60214747485207,124.06524926508416,167.8415495057762
0.061012000000052316,255.25625927621766,221.73043033550536,124.55494068515856,169.8080227084577
0.062012000000053316,256.0415125685988,225.8176089514095,124.99754586097016,171.70588537857068
0.06301200000005432,256.6183140181223,229.86449285588108,125.39408019500998,173.5365910597425
0.06401200000005532,256.991187552286,233.87187480376326,125.74553795156062,175.30156306142732
0.06501200000005632,257.1645628937746,237.8405311200585,126.05289269601371,177.00219508724004
0.06601200000005732,257.14277751834067,241.771222041318,126.31709772505397,178.63985185022744
0.06701266666672898,256.931946039152,245.6639508889377,126.54351133611601,180.21632953576798
