"Time (min)","Measured temperature"
0.0010000000000000152,20.165287807393828
0.002000666666666649,20.657106750877364
0.0030006666666667816,21.467691482020115
0.004001333333333622,22.591154838410905
0.005002000000000463,24.020235392287248
0.006002000000000595,25.746999485945505
0.007002666666667436,27.767208122186474
0.008003666666667403,30.074215410489963
0.009004333333333376,32.66020816086071
0.01000499999999935,35.51976309256342
0.011005999999998614,38.64794966032321
0.012006666666664587,42.03679225885198
0.013007666666663852,45.682776579000844
0.014008333333329825,49.57782535807258
0.015008999999995798,53.717580642467524
0.01600999999999573,58.098125972598275
0.017010666666663437,62.71124099984312
0.018010666666664437,67.54985312042545
0.019011333333332145,72.61533402755646
0.020011999999999853,77.89955692226258
0.021012000000000853,83.3939158345228
0.02201266666666856,89.10096803008668
0.02301266666666956,95.00844413743324
0.02401333333333727,101.11964908257784
0.025014000000004977,107.42623323151794
0.026014000000005977,113.91941969062896
0.027014666666673685,120.60357453646836
0.028014666666674685,127.46559317922379
0.029015333333342393,134.51051067844787
0.0300160000000101,141.72978194007482
0.0310160000000111,149.11448132491694
0.0320166666666788,156.67059305867676
0.0330166666666798,164.38427088810386
0.034017333333347506,172.262097210453
0.03501800000001521,180.29535609116374
0.03601800000001621,188.4749930864416
0.037018666666683915,196.8084389725385
0.038018666666684915,205.28119000761606
0.03901933333335262,213.7453576169648
0.040020000000020324,221.72352455753227
0.041020000000021324,229.18883297292967
0.04202066666668903,236.16213756621048
0.04302066666669003,242.64481153597043
0.04402133333335773,248.65595021993383
0.04502200000002544,254.20131096091254
0.04602200000002644,259.28767918834035
0.04702266666669414,263.9316490672149
0.04802266666669514,268.1366324451597
0.04902333333336285,271.9176439148433
0.05002400000003055,275.28095315782576
0.05102400000003155,278.23375108327997
0.052024666666699255,280.7888070369084
0.053024666666700256,282.9513573778679
0.05402533333336796,284.7327537228462
0.055026000000035664,286.1397215839138
0.056026000000036665,287.1798115187909
0.05702666666670437,287.86236027095697
0.05802666666670537,288.1942359803385
0.059027333333373073,288.18350334498854
0.06002800000004078,287.8372928609752
0.06102800000004178,287.1634735003331
0.06202866666670948,286.168302457729
0.06302866666671048,284.86010619498774
0.06402933333337818,283.24400099666815
0.06503000000004588,281.3274765933594
0.06603000000004688,279.1186832756278
0.06703066666671459,276.6211164845036
0.06803066666671559,273.8444048948007
0.0690313333333833,270.79102107527433
0.070032000000051,267.46877283020694
0.071032000000052,263.8860583985634
0.0720326666667197,260.04389752071665
0.0730326666667207,255.9530805951943
0.0740333333333884,251.61371073654266
0.07503400000005611,247.0338767928856
0.07603400000005711,242.22219493546692
0.07703466666672482,237.17746668018623
0.07803466666672582,231.9115177218875
0.07903533333339352,226.4223285815957
0.08003600000006122,220.71823584033345
0.08103600000006222,214.80804660494633
0.08203666666672993,208.68857591603714
0.08303666666673093,202.37257099681145
0.08403733333339863,195.85611196707123
0.08503800000006634,189.1482217207122
0.08603800000006734,182.6125592343434
0.08703866666673504,176.54154078692497
0.08803866666673604,170.93318076261252
0.08903933333340375,165.77012763640408
0.09004000000007145,161.0465984863575
0.09104000000007245,156.7558404882835
0.09204066666674016,152.88286301634759
0.09304066666674116,149.42375789162023
0.09404133333340886,146.3650254043429
0.09504200000007657,143.70040031962998
0.09604200000007757,141.42274844768156
0.09704266666674527,139.52068920439226
0.09804266666674627,137.98859413529613
0.09904333333341397,136.8164206790311
0.10004400000008168,135.99747466491525
0.10104400000008268,135.52428382766888
0.10204466666675038,135.38870709806514
0.10304466666675138,135.5835778099007
0.10404533333341909,136.10195529010073
0.10504600000008679,136.93676446050753
0.10604600000008779,138.08023392759355
0.1070466666667555,139.52712860963584
0.1080466666667565,141.26890748560427
0.1090473333334242,143.30141198766265
0.1100480000000919,145.6172293431618
0.1110480000000929,148.2083240678307
0.11204866666676061,151.07206684992016
0.11304866666676161,154.19868977933945
0.11404933333342931,157.58652854967613
0.11505000000009702,161.22787157171692
0.11605000000009802,165.11445078822106
0.11705066666676572,169.24597242798936
0.11805066666676672,173.61157440119433
0.11905133333343443,178.2118275732002
0.12005200000010213,183.03875651350293
0.12105200000010313,188.08388894102418
0.12205266666677084,193.3490233933053
0.12305266666677184,198.82232302533882
0.12405333333343954,204.33470583998596
0.12505400000010725,209.4189237348916
0.12605400000010825,214.05541790632836
0.12705466666677595,218.2599532599272
0.12805466666677695,222.0363027039411
0.12905533333344466,225.39868933413933
0.13005600000011236,228.35345653351942
0.13105600000011336,230.90784652412248
0.13205666666678106,233.07389089756998
0.13305666666678206,234.85714227649012
0.13405733333344977,236.26824850288475
0.13505800000011747,237.31399704954538
0.13605800000011847,238.0019802963638
0.13705866666678618,238.34087956965467
0.13805866666678718,238.3378389864541
0.13905933333345488,238.00029840127937
0.1400600000001226,237.33543972283232
0.1410600000001236,236.3511652228092
0.1420606666667913,235.05315076169
0.1430606666667923,233.44996255283436
0.14406133333346,231.5461630541711
0.1450620000001277,229.3492839344337
0.1460620000001287,226.86750113286868
0.1470626666667964,224.1037954086179
0.1480626666667974,221.0680026181026
0.1490633333334651,217.7621053954883
0.1500640000001328,214.1939449751534
0.1510640000001338,210.37193837827868
0.15206466666680152,206.29665062612438
0.15306466666680252,201.97905001981158
0.15406533333347022,197.4188072171465
0.15506600000013793,192.62546618732793
0.15606600000013893,187.97886141407028
0.15706666666680663,183.75690168957098
0.15806666666680763,179.9559966158566
0.15906733333347534,176.5620464661877
0.16006800000014304,173.5688748081193
0.16106800000014404,170.96942141440172
0.16206866666681174,168.75174116098205
0.16306866666681274,166.91049360069985
0.16406933333348045,165.43509407086577
